iso-a3,gcbr-index,zoonotic,zoonotic-risk-burden,zoonotic-mitigating-countermeasures,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,lab-leak,lab-leak-risk-burden,lab-leak-mitigating-countermeasures,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
LUX,0.239564518,0.448880318,0.498755909,0.1,0,1,0,40,0,0,0.030248718,0.038615384,0.216666667,0,0,0,0,0,0,0,100,100,50,0,0
MDG,0.058244051,0.10835034,0.170502984,0.364525257,0,0,50,60,2,33,0.008137763,0.008247732,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
MWI,0.137119067,0.192357834,0.227337312,0.153865979,0,0,0,60,2,0,0.081880299,0.087728892,0.066666667,0,0,0,0,0,0,0,100,0,0,0,0
MYS,2.918225185,5.8137768,9.961040634,0.416348451,1,19,50,80,3,33,0.022673569,0.026570589,0.146666667,0,0,0,0,20,0,0,100,100,0,0,0
MDV,0.006749076,0.013498153,0.014208582,0.05,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,0.144056511,0.271877782,0.321882604,0.155351116,0,1,0,60,2,0,0.016235239,0.016454635,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
MLT,0.00507237,0.010144741,0.014208582,0.286013129,0,0,0,100,14,0,0,0,0.133333333,0,0,0,0,0,0,0,100,100,0,0,0
MHL,0.007104291,0.014208582,0.014208582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRT,0.005002605,0.01000521,0.014208582,0.295833333,0,0,25,60,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS,0.005718211,0.011436422,0.014208582,0.195104634,0,0,0,40,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,0.623131746,1.200903134,2.603594578,0.538751868,4,1,50,80,19,67,0.045360357,0.066058773,0.313333333,0,0,0,0,20,0,0,100,100,100,0,0
FSM,0.006123614,0.012247228,0.014208582,0.13804012,0,0,0,20,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,0.003517392,0.007034784,0.014208582,0.504891899,0,0,50,60,25,67,0,0,0.146666667,0,0,0,0,20,0,0,100,100,0,0,0
MCO,0.007104291,0.014208582,0.014208582,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,100,0,0,0,0
MNG,0.051699375,0.103398749,0.225052283,0.540556763,0,0,75,80,28,33,0,0,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
